Estado,Poblacion,PIBpc,Secundarias,IndiceAprovechamientoSecundaria,PorcentajeAnalfabetas,DefuncionesGenerales,Nacimientos,Divorcios,Matrimonios,PorcentajePartosHospitales,PorcentajeAguaPotable,PorcentajeAguaEntubada,PorcentajeElectricidad,PorcentajeParedesSolidas,PorcentajePisoTierra
Aguascalientes,1184996,84.7,348,85.3,3.26,5267,26933,1417,6210,97.1,98,98.9,99.2,92.3,1.7
Baja California,3155070,83.07,595,86,2.57,14756,62871,3294,17535,65.7,93.3,95.9,98.5,77,3.3
Baja California Sur,637026,94.64,156,87.9,3.21,2739,12864,744,2856,95.2,86.7,92.4,96.7,90.3,5.8
Campeche,822441,395.55,318,78.5,8.31,3964,18343,1138,5267,87,89.5,90.3,96.8,80.7,4.7
Coahuila de Zaragoza,2748391,106.05,553,75.9,2.63,15200,59966,3668,15384,90.3,97.9,98.2,99.1,84.8,1.6
Colima,650555,76.49,169,81.8,5.13,3717,13422,658,3388,98.5,97.9,98.5,99,94.7,4.5
Chiapas,4796580,34.44,1979,89.9,17.8,22411,144423,2120,24054,33.2,74.5,78.1,95.9,67.4,14.7
Chihuahua,3406465,85.1,772,80.1,3.66,22187,69735,6203,18728,78,93.9,95.2,96.3,77.2,3.2
Distrito Federal,8851080,172.88,1406,85.9,2.09,55995,153631,11105,35536,94.8,97.8,97.8,99.5,97.9,1
Durango,1632934,67.61,928,80.6,3.82,8884,40269,1613,9674,81.3,93,94.7,96.1,66.7,6.3
Guanajuato,5486372,65.67,1691,89.2,8.18,27454,122412,4806,31310,85.5,93.5,94.7,98.2,93.2,4.1
Guerrero,3388768,41.28,1755,86.7,16.68,18137,98285,1683,22595,60.7,70.6,71.3,95.3,63,18.4
Hidalgo,2665018,53.06,1192,90.8,10.23,13246,59924,1916,10143,78.4,88.9,91.2,96.9,91.3,7.1
Jalisco,7350682,81.43,1917,91.8,4.36,40555,161217,4283,39127,88.5,93,96,99,91.9,3
México,15175862,54.41,3622,83.5,4.38,72001,326412,12890,72465,91.1,92.4,94.4,98.9,93.9,3.8
Michoacán de Ocampo,4351037,52.8,1596,76.3,10.18,24310,104885,3586,26833,85.6,90.7,92.1,98,80.3,10.3
Morelos,1777227,58.21,472,84.1,6.42,10317,37446,1391,7874,86.9,91.6,91.8,98.8,90.6,7.2
Nayarit,1084979,55.16,561,89.9,6.31,5724,25731,1080,6112,82,93.1,93,96.9,90,4
Nuevo León,4653458,151.81,965,82.8,2.2,23965,94440,7537,26942,96.4,95.5,96.2,98.3,94,2
Oaxaca,3801962,36.25,2212,88.8,16.27,21525,95505,782,20922,59.7,76.7,77.2,94.3,66.4,18.7
Puebla,5779829,53.81,2167,87.2,10.38,31843,147296,2892,21027,80,85.3,88.1,97.7,87.3,9.5
Querétaro,1827937,95.07,492,79.1,6.31,8395,41567,1623,9253,94.2,93.1,95,97.7,96.6,3.7
Quintana Roo,1325578,103.91,380,85.2,4.77,4659,28736,1027,9180,89.9,92.8,92.2,96.2,87.2,3.7
San Luis Potosí,2585518,63.29,1637,85.1,7.91,13361,55847,1769,13452,86.9,84.9,86.4,95.6,80.9,8.7
Sinaloa,2767761,66.45,893,89.7,4.97,14344,57543,3761,17088,94.1,94.4,94.9,98.4,94.7,6.1
Sonora,2662480,84.46,684,87,3.04,15001,53768,3018,14505,95.4,95.3,96.5,97.9,88.2,5.3
Tabasco,2238603,107.34,742,82.1,7.06,10834,48806,1815,11097,80.4,76.9,82.2,98.4,87.5,6.4
Tamaulipas,3268554,93.88,744,80.7,3.61,17856,63263,2355,18248,96.5,96.4,95.5,97,85.5,3.3
Tlaxcala,1169936,41.15,355,80.4,5.19,5659,28203,452,5750,93.6,98.2,98.2,98.5,90.3,3.9
Veracruz de Ignacio de la Llave,7643194,52.71,3201,82.7,11.44,47585,164174,4605,41356,75.3,76.8,81.1,96.6,81.5,11.7
Yucatán,1955577,63.79,596,79,9.23,10954,36427,2476,11960,89.9,96,97,97.4,93.2,2.8
Zacatecas,1490668,48.17,1152,85.1,5.55,8414,35625,1802,9563,91.4,94.1,94.4,98.3,63.4,3.4
